chapterNo	chapterTitle	sectionNo	sectionTitle	sentence	sentence_cleaned
3	PART 1	1	India and the Ships navigating thither	Havine described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.	havine described many inland provinces enter upon india wonderful objects region
3	PART 1	1	India and the Ships navigating thither	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.	ships merchants navigate thither made fir one deck many divided beneath sixty compartments person conveniently accommodated
3	PART 1	1	India and the Ships navigating thither	They have one rudder and four masts ; while some have two additional, which can be put up and taken down at pleasure.	one rudder four masts two additional put taken pleasure
3	PART 1	1	India and the Ships navigating thither	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.	many largest besides many thirteen divisions hold formed thick planks mortised
3	PART 1	1	India and the Ships navigating thither	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale, This last circumstance is not unusual ; for dur-  ing the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.	object guard accidents may cause vessel spring leak striking rock attacked whale last circumstance unusual dur ing night motion ship waves raises foam invites hungry animal hoping find food rushes violently hull often forces part bottom
3	PART 1	1	India and the Ships navigating thither	The water,  entering by the leak, runs on to the well, which is al-  ways kept clear ; and the crew, on perceiving the occur-  rence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.	water entering leak runs well al ways kept clear crew perceiving occur rence remove goods inundated division boards tight pass
3	PART 1	1	India and the Ships navigating thither	They then repair the injury and replace the articles.	repair injury replace articles
3	PART 1	1	India and the Ships navigating thither	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.	plaij double fastened iron nails plastered without within secured pitch people destitute
3	PART 1	1	India and the Ships navigating thither	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.	therefore take lime beat fine powder mix oil trees becomes equal glue
3	PART 1	1	India and the Ships navigating thither	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; they are moved by oars, on each of which four  hands are employed.	vessels carry two hundred mariners five six thousand loads pepper moved oars four hands employed
