chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases	Travel Phrases	Travelled Location
1	PART 1	1	On Armenia the Lesser	1	You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.	Armenia the Lesser		great Armenia,lesser Armenia	know	know	know there are two Armenias , a great and a lesser one , which last has a king who rules with pure justice , and is subject to the Tartars	there		
1	PART 1	1	On Armenia the Lesser	2	This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; 				hawking	hawking	hawking	I hawking		
1	PART 1	1	On Armenia the Lesser	3	but I must tell you the air is not very healthy.				tell	tell	tell you the air is not very healthy	you		
1	PART 1	1	On Armenia the Lesser	4	The gentry used formerly to be valiant and good at arms ; 				used,be	used,be	used formerly to be valiant and good at arms,be valiant and good at arms			
1	PART 1	1	On Armenia the Lesser	5	but now they are mean and vile, and remarkable only for being hard drinkers.				being	being	being hard drinkers	hard drinkers		
1	PART 1	1	On Armenia the Lesser	6	On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, come to purchase.			Laias,India,Venice,Pisa,Genoa,Euphrates	named,brought,come,purchase	named,brought,come,purchase	named,brought from India across the Euphrates , which the merchants of Venice , of Pisa , and of Genoa , come to purchase,come to purchase,purchase	I,India across the Euphrates , which the merchants of Venice , of Pisa , and of Genoa , come to purchase,I	India across the Euphrates  , which the merchants of Venice  , of Pisa  , and of Genoa 	Euphrates ,India ,Venice ,Pisa ,Genoa
1	PART 1	1	On Armenia the Lesser	7	By this town we enter the province of Turcomania.			Turcomania						
1	PART 1	2	On Turcomania	8	In Turcomania are three distinct races of men :-The Turcomans adore Mohammed, and are simple people, speaking a very rude language.	Turcomania,Como,Casserie,Sevasto	Mohammed	Turcomania	speaking	speaking	speaking a very rude language	a very rude language		
1	PART 1	2	On Turcomania	9	They live amid mountains and valleys where there is good pasturage for cattle, by which they subsist ; 									
1	PART 1	2	On Turcomania	10	and I assure you that they rear excellent horses and mules of great value.									
1	PART 1	2	On Turcomania	11	The two others are Armenians and Greeks, who dwell mingled in cities, and subsist by merchandise and manufactures ;				mingled	mingled	mingled in cities , and subsist by merchandise	cities , and subsist		
1	PART 1	2	On Turcomania	12	 they work carpets and crimson silk, the richest and most beautiful in the whole world.									
