chapter No	chapter Title	section No	section Title	sentence No	sentence
1	part1	1	Power and Magnificence of Kublai	1	Now I am to give you a wonderful account of the greatest king of the Tartars, still reigning, named Kublai, or lord of lords.
1	part1	1	Power and Magnificence of Kublai	2	That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; and by the statements to be made in this book, every man shall be satisfied that he really is so.
1	part1	1	Power and Magnificence of Kublai	3	Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.
1	part1	1	Power and Magnificence of Kublai	4	He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.
1	part1	1	Power and Magnificence of Kublai	5	His brothers sought to oppose his succession, but by bravery and right he triumphed over them.
1	part1	1	Power and Magnificence of Kublai	6	t From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.
1	part1	1	Power and Magnificence of Kublai	7	He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.
1	part1	1	Power and Magnificence of Kublai	8	But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.
1	part1	10	His magnificent Palace in Kambalu	9	He resides in the vast city of Kambalu, three months in the year, December, January, and February, and has here his great palace, which I will now describe.
1	part1	10	His magnificent Palace in Kambalu	10	It is a complete square, a mile long on every side, so that the whole is four miles in circuit ; and in each angle is a very fine edifice, containing bows, arrows, cords, saddles, bridles, and all other implements of war.
1	part1	10	His magnificent Palace in Kambalu	11	In the middle of the wall between these four edifices are others, making altogether eight, filled with stores, and each containing only a single article.
1	part1	10	His magnificent Palace in Kambalu	12	Towards the south are five gates, the middle one very large, never opened nor shut unless when the great khan is to pass through ; while on the other side is one by which all enter in common.
1	part1	10	His magnificent Palace in Kambalu	13	t Within that wall is another, containing eight edifices similarly constructed ; in which is lodged the wardrobe of the sovereign.
1	part1	10	His magnificent Palace in Kambalu	14	These walls enclose the palace of that mighty lord, which is the greatest that ever was seen.
1	part1	10	His magnificent Palace in Kambalu	15	The floor Tises ten palms above the ground, and the roof is exceedingly lofty.
1	part1	10	His magnificent Palace in Kambalu	16	The walls of the chambers and stairs are all covered with gold and silver, and adorned with pictures of dragons, horses, and other races of animals.
1	part1	10	His magnificent Palace in Kambalu	17	The hall is so spacious that 6000 can sit down to banquet ; and the numberof apartmentais incredible.
1	part1	10	His magnificent Palace in Kambalu	18	Theroof is externally painted with red, blue, green, and other colours, and is so varnished that it shines like crystal, and is seen to a great distance around.
1	part1	10	His magnificent Palace in Kambalu	19	It is also very strongly and durably built.
1	part1	10	His magnificent Palace in Kambalu	20	Between the walls are pleasant meadows filled with various living creatures, as white stags, the musk animal, deer, wild goats, ermines, and other beautiful creatures.
1	part1	10	His magnificent Palace in Kambalu	21	The whole enclosure is full of animals, except the path by which men pass.
1	part1	10	His magnificent Palace in Kambalu	22	On the other side, towards the south, is a magnificent lake, whither many kinds of fish are brought and nourished.
1	part1	10	His magnificent Palace in Kambalu	23	A river enters and flows out ; but the fish are retained by iron gratings.
1	part1	10	His magnificent Palace in Kambalu	24	Towards the north, about a bowshot from the palace, Kublai has constructed a mound, full a hundred paces high and a mile in circuit, all covered with evergreen trees which never shed their leaves.
1	part1	10	His magnificent Palace in Kambalu	25	When he hears of a beautiful tree, he causes it to be dug up, with all the roots and the earth round it, and to be conveyed to him on the backs of elephants, whence the eminence has been made verdant all over, and is called the green mountain.
1	part1	10	His magnificent Palace in Kambalu	26	On the top is a palace, also covered with verdure ; it and the trees are so lovely that all who look upon them feel delight and joy.
1	part1	10	His magnificent Palace in Kambalu	27	In the vicinity is another palace, where resides the grandson of the great khan, Temur, who is to reign after him, and who follows the same life and customs as his grandsire.
1	part1	10	His magnificent Palace in Kambalu	28	He has already a golden bull and the imperial seal ; but he has no authority while his grandfather lives.
1	part1	11	Description of the City of Kambalu	29	Having described to you the palaces, I will tell you of the great city of Cathay, which contains them.
1	part1	11	Description of the City of Kambalu	30	Near it is another large and splendid one, also named Kambalu, which means in our language city of the lord; but the monarch, finding by astrology that this town would rebel, built another near it, divided only by a river, and bearing the same name, to which its inhabitants were compelled to remove.
1	part1	11	Description of the City of Kambalu	31	It forms a regular square, six miles on each side, and thus twenty-four miles in circumference.
