chapter No	chapter Title	section No	section Title	sentence No	sentence
				1	You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.
				2	This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; but I must tell you the.
				3	air is not very healthy.
				4	The gentry used formerly to be valiant and good at arms ; but now they are mean and yile, and remarkable only for being hard drinkers.
				5	On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, come to purchase.
				6	By this town we enter the province of Turcomania.
				1	Know, then, that in Persia there are eight kingdoms, because it is a very great country, and I will tell you their names.
				2	The first is called Casum ;the second, to the south, Cardistan ; the third Lor ; the fourth Cielstan ;the fifth Istanit ;he sixth Cerazi ;the seventh Soucara ;the eighth Tonocain,which is on the remotest frontier.
				3	In this last are many fine horses of high value, which are taken in large numbers to be sold in India; and the greater part of them are worth two hundred livres tournoiseach.
				4	They have also the finest asses in the world, one of which is worth full thirty mares of silver.
				5	The men of that country lead these horses to two cities on the banks of the sea of India, called Chisi and Curmosa, and find there merchants, who buy them and carry them into their distant country.
				6	In these kingdoms there are many cruel men, who are constantly killing one another, and but for the fear of the Eastern Tartars, who now rule in this land, they would ruin the merchants.
				7	As it is, unless the latter are well provided with arms and bows, they often kill or hurt them severely.
				8	These men all hold the law of Mohammed.
				9	In the city are industrious merchants ; they make robes of silk and gold of various fashions, and raise also plenty of cotton.
				10	The country abounds in wheat, barley, millet, as well asin vines and other fruits.
				11	Some may imagine that the Saracens do not drink wine, as being forbidden by their law ; but they quiet their consciences by thinking that if boiled over the fire, which renders it milder and sweet, it may be drunk without breaking the commandment.
				12	Changing its taste, they change its name, and no longer call it wine, though it really is so.
				13	Let us now leave them, and tell you of Yasdi.
				1	Yasdi § is a beautiful and noble city, with rich manufactures, The people make silk cloths called by its name, which the merchants carry into various countries.
				2	They all adore Mohammed.
				3	Whena man departs from that city, he rides seven days over a plain, where in three places only there are habitations and inns for the traveller.
				4	There are many forests filled with partridges and other birds, which afford excellent sport ; also beautiful wild asses.
				5	At the end of these seven days a country called Creman presents itself.
				1	Creman is a kingdom anciently belonging to Persia, and which used to be governed by a hereditary prince ; but since the Tartar conquered it, he appoints what deputy he pleases.
				2	In that region the stones called turquoises are in great abundance ; they are found in the mountains, and excavated from the rocks, The inhabitants make all things necessary for troops, such as reins, saddles, bows, arrows, quivers, and all kinds of arms, according to the custom of the country.
				3	The ladies work very neatly cloths of gold and silk, representing with the needle, beasts, birds, and many other objects.
				4	In the mountains are reared the finest falcons in the world, for though smaller than the peregrine species, they fly so swiftly that no bird can escape them.
				5	When a man leaves the city of Creman, he travels seven days through towns and fortified places, finding much amusement, because there are great numbers of wild beasts and birds, At the end of these seven days, he comes to the declivity of a mountain, and continues two days always descending.
				6	There are abundance of fruits, but no habitation, only shepherds pasturing their flocks.
				7	The cold on this road during winter is so great that a man cannot safely travel unless with a very ample provision of clothes.
				1	At the bottom of this descent is a very extensive plain, at the commencement of which is a city named Camandu,once wonderfully great and noble, but now much declined, because the Tartar invaders have repeatedly plundered it.
				2	The heat here is extreme, and the province is called Reobarle.
				3	Its fruits are dates, pistachio nuts, apples of paradise, and others which do not grow in our country.
				4	Here are a species of birds called francolin, which are different from those of other lands, their colour being a mixture of white and black, while the beak and feet are red.
				5	The oxen are very large, white as snow, and the hair very smooth, in consequence of the heat.
				6	Between the shouldersis a hump, two palms high, and their appearance is the most beautiful of any in the world.
				7	When the owner wishes to load them, they bend down as the camels do, and after receiving their burden, rise and bear it well, being extremely strong.
				8	There are sheep as large as asses, and with tails so thick and so broad as to weigh full thirty pounds.
				9	They are also fat, and make excellent food.
				10	The people have castles and cities surrounded by walls of earth, in order to defend themselves against the Caraunas, a mixed race between the Indians and the Tartars.
				11	When these people wish to overrun the country and rob it, they, by their enchantment and diabolical agency, cause the day to become dark, so that you can see to little or no distance, and this darkness they make to last seven days.
				12	They know the places so well, that they can ride during the thickest of it ; and they are sometimes ten thousand in number, so that nothing found on the plain, man, beast, or any thing, can escape.
				13	They kill the old persons, and carry off the young to sell them for slaves.
				14	Their king is called Nogodar, and he went to the court of Ciagatai, who was the brother of the great khan, with 10,000 men, and remained with him, because his uncle was very powerful.
				15	During this stay, Nogodar committed a very great wickedness, and I will tell you what it was.
				16	He departed from his uncle Ciagatai, who was in Great Armenia, and took with him 10,000 of his people, who were very cruel, and marched by Badasian and through a province called Pasciai, and another called Chesciemur, losing many of his people and beasts, because the roads were narrow and very bad; and when they had passed all these provinces, they entered into India, on the borders of one called Dilivar.
				17	They came to the city of the same name, and took it from a king called Asidiu Sultan, who was very great and rich.
				18	There Nogodar, with his people, continues to rule, and makes war with all the other Tartars who dwell in the surrounding country.
				19	Having told you of this plain, and of the people who produced darkness in order to rob, I must also mention that Messer Marco himself was nearly taken by them amid this gloom, but though a number of his companions were captured, and either killed or sold as slaves, he himself escaped to a castle named Canosalmi.
				1	That plain extends five days’ journey southward, and you then come to a descent which continues twenty miles by a very bad and difficult road, full of wicked robbers.
				2	You then approach the very beautiful plain of Formosa, watered by fine rivers, with plantations of the date-palm, and having the air filled with francolins, parrots, and other birds unknown to our climate.
				3	You ride two days through it, and then arrive at the ocean, on which there is a city and fort named Cormos.
				4	The ships of India bring thither all kinds of spiceries, precious stones, and pearls, cloths of silk and gold, elephants’ teeth, and many other articles.
				5	It is the capital of a kingdom, having many cities and castles under it, and the sovereign is called Ruemedan Achomac, The climate, however, is intensely hot, and extremely unhealthy, and when any foreign merchant dies, the king inherits all his property.
				6	Wine is here made of dates and other spices, and is extremely good ; but when drunk by men unaccustomed to it, has a strong purgative quality, though, after some use, it agrees well, and promotescorpulence.
				7	The people live chiefly on dates and salted fish, particularly the tunny ; considering these victuals to be the most wholesome, and that if they used wheaten bread and fiesh they would fall sick.
				8	The ships are very bad, and many are lost from not being secured by nails like ours, but sewed together by a thread made of the bark of the Indian nuttrees, which being softened in water, becomes like horsehair, and is durable enough.
