chapterNo	chapterTitle	sectionNo	sectionTitle	sentence	sentence_cleaned
2	PART 1	1	Central Asia	You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.	must know two armenias great lesser one last king rules pure justice subject tartars
2	PART 1	1	Central Asia	This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; but I must tell you the.	region contains many cities castles abundance things beasts birds hunting hawking must tell
2	PART 1	1	Central Asia	air is not very healthy.	air healthy
2	PART 1	1	Central Asia	The gentry used formerly to be valiant and good at arms ; but now they are mean and yile, and remarkable only for being hard drinkers.	gentry used formerly valiant good arms mean yile remarkable hard drinkers
2	PART 1	1	Central Asia	On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, come to purchase.	seacoast city named laiaswhich carries great trade thither spices rich cloths precious articles brought india across euphrates merchants venice pisa genoa come purchase
2	PART 1	1	Central Asia	.	
2	PART 1	1	Central Asia	By this town we enter the province of Turcomania.	town enter province turcomania
2	PART 1	10	On the Kingdoms of Persia	Know, then, that in Persia there are eight kingdoms, because it is a very great country, and I will tell you their names.	know persia eight kingdoms great country tell names
2	PART 1	10	On the Kingdoms of Persia	The first is called Casum ;the second, to the south, Cardistan ; the third Lor ; the fourth Cielstan ;the fifth Istanit ;he sixth Cerazi ;the seventh Soucara ;the eighth Tonocain,which is on the remotest frontier.	first called casum second south cardistan third lor fourth cielstan fifth istanit sixth cerazi seventh soucara eighth tonocainwhich remotest frontier
2	PART 1	10	On the Kingdoms of Persia	In this last are many fine horses of high value, which are taken in large numbers to be sold in India; and the greater part of them are worth two hundred livres tournoiseach.	last many fine horses high value taken large numbers sold india greater part worth two hundred livres tournoiseach
2	PART 1	10	On the Kingdoms of Persia	They have also the finest asses in the world, one of which is worth full thirty mares of silver.	also finest asses world one worth full thirty mares silver
2	PART 1	10	On the Kingdoms of Persia	The men of that country lead these horses to two cities on the banks of the sea of India, called Chisi and Curmosa, and find there merchants, who buy them and carry them into their distant country.	men country lead horses two cities banks sea india called chisi curmosa find merchants buy carry distant country
2	PART 1	10	On the Kingdoms of Persia	In these kingdoms there are many cruel men, who are constantly killing one another, and but for the fear of the Eastern Tartars, who now rule in this land, they would ruin the merchants.	kingdoms many cruel men constantly killing one another fear eastern tartars rule land would ruin merchants
2	PART 1	10	On the Kingdoms of Persia	As it is, unless the latter are well provided with arms and bows, they often kill or hurt them severely.	unless latter well provided arms bows often kill hurt severely
2	PART 1	10	On the Kingdoms of Persia	These men all hold the law of Mohammed.	men hold law mohammed
2	PART 1	10	On the Kingdoms of Persia	In the city are industrious merchants ; they make robes of silk and gold of various fashions, and raise also plenty of cotton.	city industrious merchants make robes silk gold various fashions raise also plenty cotton
2	PART 1	10	On the Kingdoms of Persia	The country abounds in wheat, barley, millet, as well asin vines and other fruits.	country abounds wheat barley millet well asin vines fruits
